Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
1027,CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,Cc1ccccc1,344.0,469.0,1.4,0.125,,,3059.4,,67.6,452.200096768,10.1016/j.dyepig.2016.07.093
1028,CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,ClCCl,342.0,482.0,1.68,0.573,,,3283.4,,76.8,452.200096768,10.1016/j.dyepig.2016.07.094
1029,CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,C1CCOC1,344.0,500.0,2.93,0.379,,,3149.5,,79.2,452.200096768,10.1016/j.dyepig.2016.07.095
1030,CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CCOC(C)=O,333.0,489.0,2.55,0.183,,,3313.4,,79.8,452.200096768,10.1016/j.dyepig.2016.07.096
1031,CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CO,332.0,489.0,1.13,0.116,,,4444.9,,107.6,452.200096768,10.1016/j.dyepig.2016.07.097
1032,CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CC#N,343.0,505.0,3.56,0.191,,,3985.7,,102.7,452.200096768,10.1016/j.dyepig.2016.07.098
1033,CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CS(C)=O,344.0,516.0,1.79,0.214,,,5312.6,,144.2,452.200096768,10.1016/j.dyepig.2016.07.099
1034,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CCCCCC,369.0,455.0,1.07,0.209,,,3000.2,,62.4,480.231396896,10.1016/j.dyepig.2016.07.100
1035,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,Cc1ccccc1,368.0,474.0,1.48,0.427,,,2857.6,,64.5,480.231396896,10.1016/j.dyepig.2016.07.101
1036,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,ClCCl,363.0,493.0,1.53,0.842,,,3034.1,,74.2,480.231396896,10.1016/j.dyepig.2016.07.102
1037,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,C1CCOC1,364.0,499.0,3.19,0.74,,,2838.9,,71.0,480.231396896,10.1016/j.dyepig.2016.07.103
1038,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CCOC(C)=O,358.0,494.0,2.74,0.565,,,2896.5,,71.0,480.231396896,10.1016/j.dyepig.2016.07.104
1039,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CO,360.0,525.0,1.77,0.148,,,3606.6,,100.3,480.231396896,10.1016/j.dyepig.2016.07.105
1040,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CC#N,360.0,525.0,3.77,0.339,,,3367.2,,93.5,480.231396896,10.1016/j.dyepig.2016.07.106
1041,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CS(C)=O,375.0,541.0,2.42,0.47,,,3299.3,,97.3,480.231396896,10.1016/j.dyepig.2016.07.107
1042,N#Cc1ccc2c(c1)CCc1nc(-c3ccc([N+](=O)[O-])cc3)c3c(c1-2)CCc1cc(C#N)ccc1-3,CCCCCC,350.0,413.0,0.64,0.3,,,7717.9,,135.1,454.142975816,10.1016/j.dyepig.2016.07.108
1043,N#Cc1ccc2c(c1)CCc1nc(-c3ccc([N+](=O)[O-])cc3)c3c(c1-2)CCc1cc(C#N)ccc1-3,Cc1ccccc1,343.0,443.0,0.88,0.014,,,4772.7,,94.7,454.142975816,10.1016/j.dyepig.2016.07.109
1044,N#Cc1ccc2c(c1)CCc1nc(-c3ccc([N+](=O)[O-])cc3)c3c(c1-2)CCc1cc(C#N)ccc1-3,ClCCl,345.0,475.0,1.46,0.292,,,4043.9,,92.1,454.142975816,10.1016/j.dyepig.2016.07.110
1045,N#Cc1ccc2c(c1)CCc1nc(-c3ccc([N+](=O)[O-])cc3)c3c(c1-2)CCc1cc(C#N)ccc1-3,C1CCOC1,331.0,469.0,1.36,0.043,,,4601.8,,102.4,454.142975816,10.1016/j.dyepig.2016.07.111
1046,N#Cc1ccc2c(c1)CCc1nc(-c3ccc([N+](=O)[O-])cc3)c3c(c1-2)CCc1cc(C#N)ccc1-3,CCOC(C)=O,329.0,452.0,1.11,0.015,,,4241.6,,87.5,454.142975816,10.1016/j.dyepig.2016.07.112
1047,N#Cc1ccc2c(c1)CCc1nc(-c3ccc([N+](=O)[O-])cc3)c3c(c1-2)CCc1cc(C#N)ccc1-3,CO,333.0,475.0,0.84,0.01,,,4022.6,,91.6,454.142975816,10.1016/j.dyepig.2016.07.113
1048,N#Cc1ccc2c(c1)CCc1nc(-c3ccc([N+](=O)[O-])cc3)c3c(c1-2)CCc1cc(C#N)ccc1-3,CC#N,349.0,525.0,1.11,0.039,,,5163.1,,145.0,454.142975816,10.1016/j.dyepig.2016.07.114
1049,N#Cc1ccc2c(c1)CCc1nc(-c3ccc([N+](=O)[O-])cc3)c3c(c1-2)CCc1cc(C#N)ccc1-3,CS(C)=O,360.0,510.0,1.24,0.073,,,4722.0,,124.6,454.142975816,10.1016/j.dyepig.2016.07.115
1050,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,O,347.0,451.0,,0.546,,,,,,324.183778008,10.1351/pac-rep-10-09-31
1051,CC[NH+]=c1cc2oc3cc(NC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C,CCO,,,,0.94,,,,,,429.21726920809,10.1351/pac-rep-10-09-31
1052,CC[NH+]=c1cc2oc3cc(NC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C,O,,,,0.95,,,,,,429.21726920809,10.1351/pac-rep-10-09-31
1053,[NH3+]C(Cc1ccccc1)C(=O)[O-],O,258.0,280.0,,0.022,,,,,,165.078978592,10.1351/pac-rep-10-09-31
1054,c1ccc(Nc2ccc3ccccc3n2)cc1,Cc1ccccc1,352.0,404.0,,0.167,4.05618,3570.1,3483.5,44.4,57.2,220.100048384,10.1016/j.jlumin.2018.12.059
1055,Cc1ccc(Nc2ccc3ccccc3n2)cc1,Cc1ccccc1,350.0,417.9,,0.155,3.270213,3467.2,3746.8,42.6,65.8,234.115698448,10.1016/j.jlumin.2018.12.059
1056,CCc1ccc(Nc2ccc3ccccc3n2)cc1,Cc1ccccc1,350.0,418.4,,0.16,3.850891,3793.9,3672.0,46.7,64.6,248.131348512,10.1016/j.jlumin.2018.12.059
1057,COc1ccc(Nc2ccc3ccccc3n2)cc1,Cc1ccccc1,353.0,445.8,,0.125,3.96708,4256.7,4487.8,53.3,90.1,250.110613068,10.1016/j.jlumin.2018.12.059
1058,Clc1ccc(Nc2ccc3ccccc3n2)cc1,Cc1ccccc1,347.0,400.7,,0.162,4.110926,3596.2,3516.7,43.5,56.7,254.061076032,10.1016/j.jlumin.2018.12.059
1059,Fc1ccc(Nc2ccc3ccccc3n2)cc1,Cc1ccccc1,348.0,405.1,,0.152,3.980185,3164.5,3540.3,38.4,58.4,238.090626572,10.1016/j.jlumin.2018.12.059
1060,Brc1ccc(Nc2ccc3ccccc3n2)cc1,Cc1ccccc1,347.0,398.9,,0.05,4.030276,3506.1,3440.3,42.4,55.0,298.01056045200005,10.1016/j.jlumin.2018.12.059
1061,O=[N+]([O-])c1ccc(Nc2ccc3ccccc3n2)cc1,Cc1ccccc1,373.0,423.2,,0.0,4.501511,3521.2,,49.2,,265.085126592,10.1016/j.jlumin.2018.12.059
1062,Oc1ccc(Nc2ccc3ccccc3n2)cc1,Cc1ccccc1,354.0,446.5,,0.096,2.9154,,4541.4,,91.5,236.094963004,10.1016/j.jlumin.2018.12.059
1063,c1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,349.0,415.3,,0.122,3.964684,3919.5,3937.1,48.0,68.4,220.100048384,10.1016/j.jlumin.2018.12.059
1064,Cc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,353.0,429.2,,0.106,3.941611,3862.2,4814.0,48.4,89.6,234.115698448,10.1016/j.jlumin.2018.12.059
1065,CCc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,353.0,429.7,,0.102,4.248047,3825.9,4803.2,47.9,89.6,248.131348512,10.1016/j.jlumin.2018.12.059
1066,COc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,358.0,472.8,,0.011,4.016616,4441.7,4915.0,57.3,111.4,250.110613068,10.1016/j.jlumin.2018.12.059
1067,Clc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,347.0,410.4,,0.127,3.581836,3782.4,3902.2,45.7,66.1,254.061076032,10.1016/j.jlumin.2018.12.059
1068,Fc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,349.0,418.9,,0.076,4.001517,4004.0,4095.6,49.0,72.4,238.090626572,10.1016/j.jlumin.2018.12.059
1069,Brc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,347.0,409.4,,0.035,4.087959,4114.8,3856.8,49.8,65.0,298.01056045200005,10.1016/j.jlumin.2018.12.059
1070,O=[N+]([O-])c1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,379.0,432.0,,0.001,4.078819,3620.6,4365.8,52.3,82.2,265.085126592,10.1016/j.jlumin.2018.12.059
1071,Oc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,359.0,427.6,,0.006,4.009281,4373.0,,56.7,,236.094963004,10.1016/j.jlumin.2018.12.059
1072,c1ccc(Nc2ccc3ccccc3n2)cc1,CCO,351.0,453.1,,0.012,4.048209,3635.6,,45.0,,220.100048384,10.1016/j.jlumin.2018.12.059
1073,Cc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,355.0,443.0,,0.007,3.7406,4129.7,,52.3,,234.115698448,10.1016/j.jlumin.2018.12.059
1074,CCc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,354.0,474.0,,0.004,4.127234,4008.1,,50.5,,248.131348512,10.1016/j.jlumin.2018.12.059
1075,COc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,358.0,409.7,,0.001,4.081743,3856.6,,49.7,,250.110613068,10.1016/j.jlumin.2018.12.059
1076,Clc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,350.0,443.0,,0.019,3.730702,3804.2,,46.8,,254.061076032,10.1016/j.jlumin.2018.12.059
1077,Fc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,350.0,458.9,,0.025,3.206556,,,,,238.090626572,10.1016/j.jlumin.2018.12.059
1078,Brc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,351.0,444.1,,0.016,4.215347,3749.3,,46.4,,298.01056045200005,10.1016/j.jlumin.2018.12.059
1079,O=[N+]([O-])c1ccc(Nc2ccc3ccccc3n2)cc1,CCO,385.0,438.1,,0.001,4.474464,3727.3,,55.5,,265.085126592,10.1016/j.jlumin.2018.12.059
1080,Oc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,361.0,416.0,,0.0,3.79134,3844.9,,50.3,,236.094963004,10.1016/j.jlumin.2018.12.059
1081,Cn1c(=O)c2c(ncn2C)n(C)c1=O,O,258.0,,,,4.2,,,,,194.08037556,10.3389/fmars.2015.00098
1082,O=C(O)c1ccccc1,O,266.0,315.0,,,3.890533,,4190.2,,41.8,122.036779432,10.3389/fmars.2015.00098
1083,COc1cc(C(=O)O)ccc1O,O,285.0,325.0,,0.03,3.945272,,4049.3,,43.0,168.042258736,10.3389/fmars.2015.00098
1084,COc1cc(C(=O)O)cc(OC)c1O,O,260.0,333.0,,0.009,4.163668,,4335.9,,48.3,198.05282342,10.3389/fmars.2015.00098
1085,COc1cc(C=CCO)ccc1O,O,295.0,338.0,,0.1,4.073865,,3979.9,,45.7,180.078644244,10.3389/fmars.2015.00098
1086,O=C(O)c1ccccc1O,O,295.0,407.0,,0.35,3.539578,3904.2,3944.9,34.1,65.8,138.031694052,10.3389/fmars.2015.00098
1087,COc1cc(C=CC(=O)O)ccc1O,O,287.0,413.0,,0.002,4.150664,8038.5,4994.7,67.1,86.1,194.0579088,10.3389/fmars.2015.00098
1088,O=C(O)c1cc(O)c(O)c(O)c1,O,258.0,341.0,,0.006,3.918188,,4918.4,,57.6,170.021523292,10.3389/fmars.2015.00098
1089,Cc1ccc(O)cc1,O,276.0,307.0,,0.11,3.285557,3147.1,3662.1,24.0,34.6,108.057514876,10.3389/fmars.2015.00098
1090,[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-],O,274.0,304.0,3.27,0.13,3.081707,3197.0,3594.4,24.0,33.3,181.073893212,10.3389/fmars.2015.00098
1091,[NH3+]C(Cc1ccc(O)c(O)c1)C(=O)[O-],O,278.0,318.0,,0.075,3.360972,3645.4,4142.7,28.2,42.1,197.068807832,10.3389/fmars.2015.00098
1092,c1ccc2[nH]ccc2c1,O,269.0,340.0,,0.93,3.718917,5636.6,4844.7,41.0,56.4,117.057849224,10.3389/fmars.2015.00098
1093,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)[O-],O,277.0,350.0,,0.15,3.729003,5262.0,5006.7,40.6,61.8,204.089877624,10.3389/fmars.2015.00098
1094,O=c1ccc2ccccc2o1,O,306.0,385.0,,,3.728922,9926.9,6371.3,95.1,95.9,146.036779432,10.3389/fmars.2015.00098
1095,C(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2nc(-c3ccc(C=Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)nc(-c3ccc(C=Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)n2)cc1,ClC(Cl)Cl,421.0,535.0,220.0,0.27,,4502.0,3071.3,80.5,88.5,1116.48794592,10.1016/j.jlumin.2017.05.037
1096,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(N(c2ccc(C=Cc3ccc(-c4nc(-c5ccc(C=Cc6ccc(N(c7ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc7)c7ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc7)cc6)cc5)nc(-c5ccc(C=Cc6ccc(N(c7ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc7)c7ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc7)cc6)cc5)n4)cc3)cc2)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,ClC(Cl)Cl,385.0,490.0,1000.0,0.86,,4730.5,3285.6,70.7,79.4,2424.3547696080004,10.1016/j.jlumin.2017.05.037
1097,COc1ncccc1B(O)O,CO,,334.0,1.57,0.518,,,3755.3,,42.1,153.059723516,10.1016/j.matpr.2018.06.517
1098,COc1ncccc1B(O)O,CCO,,,0.499,0.783,,,,,,153.059723516,10.1016/j.matpr.2018.06.517
1099,COc1ncccc1B(O)O,CC(C)O,,,0.399,0.549,,,,,,153.059723516,10.1016/j.matpr.2018.06.517
1100,COc1ncccc1B(O)O,CCCCCCCCO,,,0.463,0.317,,,,,,153.059723516,10.1016/j.matpr.2018.06.517
1101,COc1ncccc1B(O)O,CCCCCC,,,0.211,0.502,,,,,,153.059723516,10.1016/j.matpr.2018.06.517
1102,COc1ncccc1B(O)O,CCCCCCC,,,0.253,0.689,,,,,,153.059723516,10.1016/j.matpr.2018.06.517
1103,COc1ncccc1B(O)O,CCCCCCCC,,,0.299,0.701,,,,,,153.059723516,10.1016/j.matpr.2018.06.517
1104,COc1ncccc1B(O)O,C1COCCO1,,,0.415,0.423,,,,,,153.059723516,10.1016/j.matpr.2018.06.517
1105,CCN(CC)c1ccc2cc3c(cc2c1)C1(c2ccccc2Oc2ccccc21)c1cc2cc(N(CC)CC)ccc2cc1C3=O,CC#N,452.0,552.0,2.5,0.5,,2894.5,2996.4,59.4,91.9,602.293328456,10.1016/j.cclet.2018.08.008
1106,COc1ccc(C=CC(=O)c2ccccc2O)cc1OC,CS(C)=O,365.0,480.0,,0.47,4.4,,4368.5,,101.8,284.104858992,10.1016/j.molstruc.2016.08.081
1107,COc1ccc(C=CC(=O)c2ccccc2O)cc1OC,CN(C)C=O,362.0,473.0,,0.36,4.34,,3536.1,,79.7,284.104858992,10.1016/j.molstruc.2016.08.081
1108,COc1ccc(C=CC(=O)c2ccccc2O)cc1OC,CCO,359.0,500.0,,0.15,4.28,,3406.1,,85.8,284.104858992,10.1016/j.molstruc.2016.08.081
1109,COc1ccc(C=CC(=O)c2ccccc2O)cc1OC,CO,357.0,510.0,,0.24,4.35,,3512.5,,92.1,284.104858992,10.1016/j.molstruc.2016.08.081
1110,COc1ccc(C=CC(=O)c2ccccc2O)cc1OC,CCCO,360.0,495.0,,0.37,4.25,,3310.3,,81.7,284.104858992,10.1016/j.molstruc.2016.08.081
1111,COc1ccc(C=CC(=O)c2ccccc2O)cc1OC,ClC(Cl)Cl,355.0,462.0,,0.053,4.29,,3470.8,,74.6,284.104858992,10.1016/j.molstruc.2016.08.081
1112,COc1ccc(C=CC(=O)c2ccccc2O)cc1OC,ClCCl,353.0,460.0,,0.037,4.28,,3430.7,,73.0,284.104858992,10.1016/j.molstruc.2016.08.081
1113,COc1ccc(C=CC(=O)c2ccccc2O)cc1OC,CC#N,352.0,463.0,,0.28,4.35,,3503.6,,75.6,284.104858992,10.1016/j.molstruc.2016.08.081
1114,COc1ccc(C=CC(=O)c2ccccc2O)cc1OC,C1COCCO1,354.0,425.0,,0.072,4.29,,4693.8,,85.6,284.104858992,10.1016/j.molstruc.2016.08.081
1115,COc1ccc(C=CC(=O)c2ccccc2O)cc1OC,C1CCOC1,350.0,,,,4.21,,,,,284.104858992,10.1016/j.molstruc.2016.08.081
1116,CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)C(CO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C)ccc12,C1CCOC1,428.0,512.0,2.3,0.003,4.1,5025.7,,93.1,,661.270708486,10.3390/chemosensors6030026
1117,CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)C(CO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C)ccc12,CCO,433.0,525.0,3.65,0.048,4.1,4928.2,2616.6,93.5,72.5,661.270708486,10.3390/chemosensors6030026
1118,CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)C(CO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C)ccc12,CC#N,445.0,542.0,2.7,0.003,4.12,5161.0,,103.6,,661.270708486,10.3390/chemosensors6030026
1119,CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)C(CO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C)ccc12,CS(C)=O,449.0,547.0,4.03,0.01,4.06,5217.7,2695.9,106.7,81.1,661.270708486,10.3390/chemosensors6030026
1120,CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)C(CSCc3ccc(C)cc3)NC(=O)OC(C)(C)C)ccc12,C1CCOC1,431.0,518.0,2.49,0.006,4.01,,,,,667.2239881440001,10.3390/chemosensors6030026
1121,CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)C(CSCc3ccc(C)cc3)NC(=O)OC(C)(C)C)ccc12,CCO,435.0,516.0,3.29,0.043,3.89,,,,,667.2239881440001,10.3390/chemosensors6030026
1122,CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)C(CSCc3ccc(C)cc3)NC(=O)OC(C)(C)C)ccc12,CC#N,431.0,521.0,2.97,0.004,4.01,,,,,667.2239881440001,10.3390/chemosensors6030026
1123,CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)C(CSCc3ccc(C)cc3)NC(=O)OC(C)(C)C)ccc12,CS(C)=O,457.0,549.0,4.06,0.025,4.04,,,,,667.2239881440001,10.3390/chemosensors6030026
1124,CCCCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2cc(N(CC)CC)ccc12,CCO,543.0,572.0,2.92,0.71,,,,,,499.29551952809,10.1016/j.jlumin.2013.07.066
1125,CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2cc(N(CC)CC)ccc12,CCO,541.0,571.0,2.94,0.69,,,,,,471.26421940009,10.1016/j.jlumin.2013.07.066
1126,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,552.0,578.0,2.96,0.68,,,,,,557.1421668479101,10.1016/j.jlumin.2013.07.066
1127,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,539.0,571.0,2.96,0.66,,1262.8,1133.5,36.7,37.0,442.22564282,10.1016/j.jlumin.2013.07.066
1128,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,556.0,581.0,3.0,0.66,,1028.1,974.1,31.8,32.9,558.1494432999999,10.1016/j.jlumin.2013.07.066
1129,CCNc1cc2oc3cc(=[NH+]CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCO,527.0,552.0,3.96,0.95,5.064458,1224.7,1306.7,34.0,39.9,443.23291927209,10.1016/j.jlumin.2013.07.066
1130,COC(=O)c1ccccc1-c1c2ccc(=[NH2+])cc-2oc2cc(N)ccc12,CCO,506.0,529.0,3.99,0.88,,1213.8,1271.9,31.1,35.6,345.12336882409005,10.1016/j.jlumin.2013.07.066
1131,Nc1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[NH2+])cc-3oc2c1,CCO,499.0,525.0,4.0,0.88,,1407.1,1192.9,35.1,32.9,330.100442308,10.1016/j.jlumin.2013.07.066
1132,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCO,564.0,593.0,4.74,0.98,,1142.7,1014.5,36.4,35.7,490.2256428200001,10.1016/j.jlumin.2013.07.066
1133,CCN(CC)c1ccc2cc3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,526.0,557.0,3.89,0.95,,,,,,323.21178990409,10.1016/j.jlumin.2013.07.066
1134,CCCCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2cc(N(CC)CC)ccc12,O,558.0,584.0,1.67,0.3,,,,,,499.29551952809,10.1016/j.jlumin.2013.07.066
1135,CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2cc(N(CC)CC)ccc12,O,552.0,581.0,1.74,0.34,,,,,,471.26421940009,10.1016/j.jlumin.2013.07.066
1136,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,O,562.0,588.0,1.49,0.3,,,,,,557.1421668479101,10.1016/j.jlumin.2013.07.066
1137,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,O,554.0,580.0,1.75,0.36,,,,,,442.22564282,10.1016/j.jlumin.2013.07.066
1138,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,O,554.0,591.0,1.78,0.36,,,,,,558.1494432999999,10.1016/j.jlumin.2013.07.066
1139,CCNc1cc2oc3cc(=[NH+]CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,O,525.0,554.0,4.22,0.95,5.068928,1566.5,,43.2,,443.23291927209,10.1016/j.jlumin.2013.07.066
1140,COC(=O)c1ccccc1-c1c2ccc(=[NH2+])cc-2oc2cc(N)ccc12,O,497.0,527.0,4.2,0.89,,,,,,345.12336882409005,10.1016/j.jlumin.2013.07.066
1141,Nc1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[NH2+])cc-3oc2c1,O,497.0,523.0,4.28,0.85,,,,,,330.100442308,10.1016/j.jlumin.2013.07.066
1142,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,O,575.0,604.0,4.91,0.99,,,,,,490.2256428200001,10.1016/j.jlumin.2013.07.066
1143,CCN(CC)c1ccc2cc3ccc(=[N+](CC)CC)cc-3oc2c1,O,550.0,555.0,4.07,0.94,,,,,,323.21178990409,10.1016/j.jlumin.2013.07.066
1144,CCCCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2cc(N(CC)CC)ccc12,CC#N,555.0,581.0,1.61,0.36,,,,,,499.29551952809,10.1016/j.jlumin.2013.07.066
1145,CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2cc(N(CC)CC)ccc12,CC#N,555.0,581.0,1.69,0.39,,,,,,471.26421940009,10.1016/j.jlumin.2013.07.066
1146,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,548.0,573.0,2.46,0.52,,,,,,557.1421668479101,10.1016/j.jlumin.2013.07.066
1147,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,555.0,579.0,1.74,0.4,,,,,,442.22564282,10.1016/j.jlumin.2013.07.066
1148,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,551.0,575.0,2.47,0.58,,,,,,558.1494432999999,10.1016/j.jlumin.2013.07.066
1149,CCNc1cc2oc3cc(=[NH+]CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CC#N,524.0,552.0,4.18,0.94,5.029384,1293.1,,35.5,,443.23291927209,10.1016/j.jlumin.2013.07.066
1150,COC(=O)c1ccccc1-c1c2ccc(=[NH2+])cc-2oc2cc(N)ccc12,CC#N,500.0,525.0,4.1,1.0,,,,,,345.12336882409005,10.1016/j.jlumin.2013.07.066
1151,Nc1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[NH2+])cc-3oc2c1,CC#N,500.0,523.0,4.03,0.95,,,,,,330.100442308,10.1016/j.jlumin.2013.07.066
1152,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CC#N,577.0,603.0,5.25,1.0,,,,,,490.2256428200001,10.1016/j.jlumin.2013.07.066
